"","canal","qualidade","percentual","impressoes"
"206","TV Verdes Mares","5.25 Mbps",0,0
"207","TV Verdes Mares","5.75 Mbps",0,0
"208","TV Verdes Mares","6.25 Mbps",0,0
"209","NSC - SC","0.25 Mbps",0,0
"210","NSC - SC","0.75 Mbps",35.29,12
"211","NSC - SC","1.25 Mbps",2.94,1
"212","NSC - SC","1.75 Mbps",0,0
"213","NSC - SC","2.25 Mbps",61.76,21
"214","NSC - SC","2.75 Mbps",0,0
"215","NSC - SC","3.25 Mbps",0,0
"216","NSC - SC","3.75 Mbps",0,0
"217","NSC - SC","4.25 Mbps",0,0
"218","NSC - SC","4.75 Mbps",0,0
"219","NSC - SC","5.25 Mbps",0,0
"220","NSC - SC","5.75 Mbps",0,0
"221","NSC - SC","6.25 Mbps",0,0
"222","Philos OTT","0.25 Mbps",0,0
"223","Philos OTT","0.75 Mbps",0,0
"224","Philos OTT","1.25 Mbps",25,2
"225","Philos OTT","1.75 Mbps",0,0
"226","Philos OTT","2.25 Mbps",0,0
"227","Philos OTT","2.75 Mbps",0,0
"228","Philos OTT","3.25 Mbps",25,2
"229","Philos OTT","3.75 Mbps",0,0
"230","Philos OTT","4.25 Mbps",0,0
"231","Philos OTT","4.75 Mbps",50,4
"232","Philos OTT","5.25 Mbps",0,0
"233","Philos OTT","5.75 Mbps",0,0
"234","Philos OTT","6.25 Mbps",0,0
"235","EPTV (SP)","0.25 Mbps",0,0
"236","EPTV (SP)","0.75 Mbps",8.57,3
"237","EPTV (SP)","1.25 Mbps",8.57,3
"238","EPTV (SP)","1.75 Mbps",0,0
"239","EPTV (SP)","2.25 Mbps",80,28
"240","EPTV (SP)","2.75 Mbps",0,0
"241","EPTV (SP)","3.25 Mbps",2.86,1
"242","EPTV (SP)","3.75 Mbps",0,0
"243","EPTV (SP)","4.25 Mbps",0,0
"244","EPTV (SP)","4.75 Mbps",0,0
"245","EPTV (SP)","5.25 Mbps",0,0
"246","EPTV (SP)","5.75 Mbps",0,0
