"","device","player","player_dev","qualidade","percentual","impressoes"
"145","desktop","safari","safari_desktop","0.75 Mbps",8.65,16
"146","desktop","safari","safari_desktop","1.25 Mbps",17.3,32
"147","desktop","safari","safari_desktop","1.75 Mbps",1.62,3
"148","desktop","safari","safari_desktop","2.25 Mbps",30.81,57
"149","desktop","safari","safari_desktop","2.75 Mbps",0,0
"150","desktop","safari","safari_desktop","3.25 Mbps",12.43,23
"151","desktop","safari","safari_desktop","3.75 Mbps",2.16,4
"152","desktop","safari","safari_desktop","4.25 Mbps",0,0
"153","desktop","safari","safari_desktop","4.75 Mbps",13.51,25
"154","desktop","safari","safari_desktop","5.25 Mbps",9.19,17
"155","desktop","safari","safari_desktop","5.75 Mbps",0,0
"156","desktop","safari","safari_desktop","6.25 Mbps",0,0
"157","mobile","android","android_mobile","0.25 Mbps",3.23,524
"158","mobile","android","android_mobile","0.75 Mbps",11.64,1885
"159","mobile","android","android_mobile","1.25 Mbps",14.28,2314
"160","mobile","android","android_mobile","1.75 Mbps",0.94,153
"161","mobile","android","android_mobile","2.25 Mbps",29.04,4705
"162","mobile","android","android_mobile","2.75 Mbps",0.04,7
"163","mobile","android","android_mobile","3.25 Mbps",15.78,2557
"164","mobile","android","android_mobile","3.75 Mbps",3.71,601
"165","mobile","android","android_mobile","4.25 Mbps",0.09,14
"166","mobile","android","android_mobile","4.75 Mbps",14.9,2413
"167","mobile","android","android_mobile","5.25 Mbps",6.31,1023
"168","mobile","android","android_mobile","5.75 Mbps",0,0
"169","mobile","android","android_mobile","6.25 Mbps",0.02,4
"170","desktop","desktop","desktop_desktop","0.25 Mbps",2.12,243
"171","desktop","desktop","desktop_desktop","0.75 Mbps",10.72,1227
"172","desktop","desktop","desktop_desktop","1.25 Mbps",14.21,1626
"173","desktop","desktop","desktop_desktop","1.75 Mbps",0.75,86
"174","desktop","desktop","desktop_desktop","2.25 Mbps",26.46,3027
"175","desktop","desktop","desktop_desktop","2.75 Mbps",0.15,17
"176","desktop","desktop","desktop_desktop","3.25 Mbps",18.03,2063
"177","desktop","desktop","desktop_desktop","3.75 Mbps",4.1,469
"178","desktop","desktop","desktop_desktop","4.25 Mbps",0.1,12
"179","desktop","desktop","desktop_desktop","4.75 Mbps",17.32,1982
"180","desktop","desktop","desktop_desktop","5.25 Mbps",5.92,677
"181","desktop","desktop","desktop_desktop","5.75 Mbps",0,0
"182","desktop","desktop","desktop_desktop","6.25 Mbps",0.11,13
"183","tv","philips","philips_tv","0.25 Mbps",2.81,16
"184","tv","philips","philips_tv","0.75 Mbps",9.65,55
"185","tv","philips","philips_tv","1.25 Mbps",14.04,80
"186","tv","philips","philips_tv","1.75 Mbps",1.23,7
"187","tv","philips","philips_tv","2.25 Mbps",25.96,148
"188","tv","philips","philips_tv","2.75 Mbps",0,0
"189","tv","philips","philips_tv","3.25 Mbps",17.02,97
"190","tv","philips","philips_tv","3.75 Mbps",2.63,15
"191","tv","philips","philips_tv","4.25 Mbps",0,0
"192","tv","philips","philips_tv","4.75 Mbps",21.75,124
"193","tv","philips","philips_tv","5.25 Mbps",4.91,28
"194","tv","philips","philips_tv","5.75 Mbps",0,0
"195","tv","philips","philips_tv","6.25 Mbps",0,0
"196","tv","tizen_4k","tizen_4k_tv","0.25 Mbps",3.19,55
"197","tv","tizen_4k","tizen_4k_tv","0.75 Mbps",11.37,196
"198","tv","tizen_4k","tizen_4k_tv","1.25 Mbps",15.37,265
"199","tv","tizen_4k","tizen_4k_tv","1.75 Mbps",1.16,20
"200","tv","tizen_4k","tizen_4k_tv","2.25 Mbps",25.75,444
"201","tv","tizen_4k","tizen_4k_tv","2.75 Mbps",0.23,4
"202","tv","tizen_4k","tizen_4k_tv","3.25 Mbps",16.24,280
"203","tv","tizen_4k","tizen_4k_tv","3.75 Mbps",4.35,75
"204","tv","tizen_4k","tizen_4k_tv","4.25 Mbps",0,0
"205","tv","tizen_4k","tizen_4k_tv","4.75 Mbps",14.1,243
"206","tv","tizen_4k","tizen_4k_tv","5.25 Mbps",8.24,142
"207","tv","tizen_4k","tizen_4k_tv","5.75 Mbps",0,0
"208","tv","tizen_4k","tizen_4k_tv","6.25 Mbps",0,0
"209","tv","webos_4k","webos_4k_tv","0.25 Mbps",3.78,47
"210","tv","webos_4k","webos_4k_tv","0.75 Mbps",10.7,133
"211","tv","webos_4k","webos_4k_tv","1.25 Mbps",13.92,173
"212","tv","webos_4k","webos_4k_tv","1.75 Mbps",0.97,12
"213","tv","webos_4k","webos_4k_tv","2.25 Mbps",25.42,316
"214","tv","webos_4k","webos_4k_tv","2.75 Mbps",0,0
"215","tv","webos_4k","webos_4k_tv","3.25 Mbps",18.26,227
"216","tv","webos_4k","webos_4k_tv","3.75 Mbps",2.57,32
"217","tv","webos_4k","webos_4k_tv","4.25 Mbps",0,0
"218","tv","webos_4k","webos_4k_tv","4.75 Mbps",19.79,246
"219","tv","webos_4k","webos_4k_tv","5.25 Mbps",4.59,57
"220","tv","webos_4k","webos_4k_tv","5.75 Mbps",0,0
"221","tv","webos_4k","webos_4k_tv","6.25 Mbps",0,0
"222","tv","panasonic","panasonic_tv","0.25 Mbps",3.59,9
"223","tv","panasonic","panasonic_tv","0.75 Mbps",11.16,28
"224","tv","panasonic","panasonic_tv","1.25 Mbps",12.35,31
"225","tv","panasonic","panasonic_tv","1.75 Mbps",1.2,3
"226","tv","panasonic","panasonic_tv","2.25 Mbps",24.7,62
"227","tv","panasonic","panasonic_tv","2.75 Mbps",0,0
"228","tv","panasonic","panasonic_tv","3.25 Mbps",13.55,34
"229","tv","panasonic","panasonic_tv","3.75 Mbps",4.78,12
"230","tv","panasonic","panasonic_tv","4.25 Mbps",0,0
"231","tv","panasonic","panasonic_tv","4.75 Mbps",16.33,41
"232","tv","panasonic","panasonic_tv","5.25 Mbps",12.35,31
"233","tv","panasonic","panasonic_tv","5.75 Mbps",0,0
"234","tv","panasonic","panasonic_tv","6.25 Mbps",0,0
"235","mobile","safari_mobile","safari_mobile_mobile","0.25 Mbps",0,0
"236","mobile","safari_mobile","safari_mobile_mobile","0.75 Mbps",8.59,17
"237","mobile","safari_mobile","safari_mobile_mobile","1.25 Mbps",14.65,29
"238","mobile","safari_mobile","safari_mobile_mobile","1.75 Mbps",0,0
"239","mobile","safari_mobile","safari_mobile_mobile","2.25 Mbps",30.81,61
"240","mobile","safari_mobile","safari_mobile_mobile","2.75 Mbps",0,0
"241","mobile","safari_mobile","safari_mobile_mobile","3.25 Mbps",17.17,34
"242","mobile","safari_mobile","safari_mobile_mobile","3.75 Mbps",2.53,5
"243","mobile","safari_mobile","safari_mobile_mobile","4.25 Mbps",1.01,2
"244","mobile","safari_mobile","safari_mobile_mobile","4.75 Mbps",21.72,43
"245","mobile","safari_mobile","safari_mobile_mobile","5.25 Mbps",3.54,7
