"","ga_pais","ga_estado","ga_cidade","player","device","canal","programa","qualidade","mes"
"591807","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Globoplay OTT","Grey's Anatomy",2087000,202012
"591811","Brazil","State of Rio de Janeiro","Mage","android","mobile","Globoplay OTT","Smallville",4784000,202012
"591818","Brazil","Federal District","Brasilia","android","tablet","Globoplay OTT","FBI",1349000,202012
"591830","Brazil","State of Goias","(not set)","android","tablet","Globoplay OTT","Todo Mundo Odeia o Chris",4717588,202012
"591835","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Rede Globo","Bom Dia Brasil",2229000,202012
"591844","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Multishow OTT","Além da Ilha",3355000,202012
"591852","Brazil","State of Sao Paulo","Piracicaba","android","mobile","Rede Globo","Cinema",2216000,202012
"592069","Brazil","State of Rio de Janeiro","Duque de Caxias","android","mobile","Rede Globo","Globoplay Ao Vivo",1573000,202012
"592070","Brazil","State of Rio de Janeiro","Duque de Caxias","android","mobile","Rede Globo","Globoplay Ao Vivo",655000,202012
"592103","Brazil","State of Parana","Curitiba","android","mobile","Rede Globo","Globoplay Ao Vivo",256000,202012
"592206","Brazil","State of Rio Grande do Norte","Mossoro","android","mobile","Viva OTT","VIVA Ao Vivo",346000,202012
"592279","Brazil","State of Rio de Janeiro","Sao Goncalo","android","mobile","Rede Globo","Globoplay Ao Vivo",256000,202012
"592334","Brazil","State of Rio de Janeiro","Nilopolis","android","tablet","Globoplay OTT","Smallville",4787000,202012
"592444","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","As Five",2152000,202012
"592457","Brazil","State of Rio de Janeiro","Sao Goncalo","android","tablet","Rede Globo","Jornal Hoje",1204000,202012
"592546","Brazil","State of Rio Grande do Sul","Novo Hamburgo","android","tablet","Som Livre OTT","Tiago Iorc – Troco Likes Ao Vivo",3166001,202012
"592660","Brazil","State of Rio de Janeiro","Sao Goncalo","android","tablet","Globoplay OTT","Os 4400",2086000,202012
"592758","Brazil","State of Sao Paulo","(not set)","android","mobile","Globoplay OTT","Programas Institucionais",2359000,202012
"592778","Brazil","State of Sao Paulo","Sorocaba","android","mobile","Rede Globo","Cinema",1221000,202012
"592965","Brazil","State of Parana","Piraquara","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"593004","Brazil","State of Sao Paulo","Santos","android","tablet","Rede Globo","Globoplay Ao Vivo",2359000,202012
"593260","Brazil","State of Minas Gerais","Manhumirim","android","tablet","Rede Globo","Globoplay Ao Vivo",1049000,202012
"593286","Brazil","State of Sao Paulo","(not set)","android","mobile","Globoplay OTT","Programas Institucionais",5238000,202012
"593353","Brazil","State of Rio de Janeiro","Sao Goncalo","android","tablet","Globoplay OTT","Unforgettable",2089000,202012
"593402","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Rede Globo","A Força do Querer - Edição Especial",5078000,202012
"593407","Brazil","State of Espirito Santo","Vitoria","android","mobile","Rede Globo","Cinema",1202000,202012
"593434","Brazil","State of Pernambuco","Recife","android","tablet","Rede Globo","The Voice Brasil",3522000,202012
"593438","Brazil","State of Bahia","(not set)","android","tablet","Rede Globo","Torre de Babel",1192000,202012
"593465","Brazil","State of Pernambuco","Jaboatao dos Guararapes","android","tablet","Globoplay OTT","Prison Break: Em Busca da Verdade",3293000,202012
"593521","Brazil","State of Rio Grande do Sul","Esteio","android","tablet","Rede Globo","Além do Tempo",2214000,202012
"593522","Brazil","State of Rio Grande do Sul","Esteio","android","tablet","Rede Globo","Além do Tempo",1193000,202012
"593533","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Globoplay OTT","Prison Break: Em Busca da Verdade",2217002,202012
"593534","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Globoplay OTT","Prison Break: Em Busca da Verdade",884002,202012
"593544","Brazil","State of Goias","Senador Canedo","android","mobile","Rede Globo","Globoplay Ao Vivo",176000,202012
"593578","Brazil","State of Rio de Janeiro","Niteroi","android","tablet","Globoplay OTT","Hospital New Amsterdam",2086000,202012
"593607","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Rede Globo","Cinema",2090000,202012
"593608","Brazil","State of Santa Catarina","Florianopolis","android","tablet","Globoplay OTT","Modern Family",1222001,202012
"593609","Brazil","State of Santa Catarina","Florianopolis","android","tablet","Globoplay OTT","Modern Family",3169002,202012
"593838","Brazil","State of Minas Gerais","Belo Horizonte","android","tablet","Rede Globo","Órfãos da Terra",3391000,202012
"593863","Brazil","State of Paraiba","Joao Pessoa","android","tablet","Rede Globo","O Rei do Gado",926000,202012
"593957","Brazil","State of Mato Grosso","Cuiaba","android","tablet","Rede Globo","Globoplay Ao Vivo",1417000,202012
"593961","Brazil","State of Sao Paulo","Mogi das Cruzes","android","tablet","Globoplay OTT","Impuros",4916001,202012
"593992","Brazil","State of Rio de Janeiro","Mangaratiba","android","tablet","Globoplay OTT","Hospital New Amsterdam",3162000,202012
"594067","Brazil","State of Parana","Curitiba","android","tablet","Rede Globo","A Favorita",3484000,202012
"594077","Brazil","Federal District","Brasilia","android","tablet","Rede Globo","Laços de Família",745000,202012
"594135","Brazil","State of Pernambuco","Jaboatao dos Guararapes","android","tablet","Rede Globo","Globoplay Ao Vivo",1049000,202012
"594165","Brazil","State of Sao Paulo","Mirassol","android","mobile","Rede Globo","Globoplay Ao Vivo",410000,202012
"594175","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Globoplay OTT","O Clube das Divorciadas",1221000,202012
"594198","Brazil","State of Sao Paulo","Tiete","android","mobile","Rede Globo","Globoplay Ao Vivo",1573000,202012
"594200","Brazil","State of Santa Catarina","Tijucas","android","tablet","Rede Globo","Globoplay Ao Vivo",176000,202012
"594217","Brazil","State of Rio de Janeiro","Cabo Frio","android","tablet","Rede Globo","A Força do Querer",5083000,202012
"594255","Brazil","State of Amazonas","Manaus","android","tablet","Globoplay OTT","The Librarians",1221000,202012
"594257","Brazil","State of Sao Paulo","Hortolandia","android","mobile","Rede Globo","A Dona do Pedaço",3545000,202012
"594309","Brazil","State of Acre","Rio Branco","android","tablet","Globoplay OTT","The Big Bang Theory",4783001,202012
"594333","Brazil","State of Minas Gerais","Belo Horizonte","android","tablet","Globoplay OTT","Manifest - O Mistério do Voo 828",4914000,202012
"594357","Brazil","State of Piaui","(not set)","android","mobile","SporTV OTT","SporTV Ao Vivo",4783000,202012
"594372","Brazil","State of Parana","Curitiba","android","tablet","Canal Brasil OTT","Canal Brasil Ao Vivo",4783000,202012
"594454","Brazil","State of Sao Paulo","Olimpia","android","tablet","Rede Globo","Globoplay Ao Vivo",1049000,202012
"594457","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Globoplay OTT","Legacies",3292000,202012
"594499","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Globoplay OTT","Modern Family",4792001,202012
"594559","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Rede Globo","Bom Dia Rio",1201000,202012
"594579","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Globoplay OTT","Drop Dead Diva",756001,202012
"594614","Brazil","State of Minas Gerais","Mariana","android","tablet","Rede Globo","Pequenas Empresas & Grandes Negócios",1209000,202012
"594617","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Globoplay OTT","Wolfblood: Família Lobo",755001,202012
"594765","Brazil","State of Rio de Janeiro","Duque de Caxias","android","tablet","Globoplay OTT","Manifest - O Mistério do Voo 828",4914001,202012
"594832","Brazil","State of Sao Paulo","Salto","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"594949","Brazil","State of Sao Paulo","Itapetininga","android","tablet","Globoplay OTT","Hospital New Amsterdam",4782000,202012
"594973","Brazil","State of Sao Paulo","Itanhaem","android","mobile","Globoplay OTT","Programas Institucionais",2359000,202012
"595047","Brazil","Federal District","Brasilia","android","mobile","Globoplay OTT","Chicago P.D.: Distrito 21",4906001,202012
"595078","Brazil","State of Ceara","Fortaleza","android","tablet","Viva OTT","VIVA Ao Vivo",4783000,202012
"595129","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Multishow OTT","Além da Ilha",1296000,202012
"595136","Brazil","State of Sao Paulo","Piracicaba","android","mobile","Rede Globo","Cinema",3098000,202012
"595231","Brazil","State of Sao Paulo","Sao Paulo","android","mobile","Globoplay OTT","Manifest - O Mistério do Voo 828",4914000,202012
"595276","Brazil","State of Sao Paulo","Jandira","android","tablet","Rede Globo","A Força do Querer - Edição Especial",5083000,202012
"595277","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",3407000,202012
"595313","Brazil","State of Minas Gerais","Belo Horizonte","android","mobile","Rede Globo","A Grande Família",2217000,202012
"595382","Brazil","State of Rio Grande do Norte","Natal","android","tablet","Globoplay OTT","Chicago P.D.: Distrito 21",755000,202012
"595466","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","Globoplay Ao Vivo",655000,202012
"595495","Brazil","State of Sao Paulo","Mongagua","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"595512","Brazil","State of Sao Paulo","Caraguatatuba","android","mobile","Rede Globo","Cheias de Charme",1091000,202012
"595527","Brazil","State of Sao Paulo","Praia Grande","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"595537","Brazil","State of Sao Paulo","Sao Jose dos Campos","android","tablet","Globoplay OTT","Hospital New Amsterdam",1220000,202012
"595554","Brazil","State of Sao Paulo","Charqueada","android","tablet","Rede Globo","Premiere no Globoplay",3189000,202012
"595641","Brazil","State of Rio de Janeiro","Nilopolis","android","tablet","Globoplay OTT","Smallville",3093588,202012
"595662","Brazil","State of Bahia","Salvador","android","mobile","Rede Globo","Globoplay Ao Vivo",176000,202012
"595693","Brazil","State of Pernambuco","Vitoria de Santo Antao","android","mobile","Rede Globo","Globoplay Ao Vivo",256000,202012
"595745","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Viva OTT","VIVA Ao Vivo",4783000,202012
"595782","Brazil","State of Sao Paulo","Sao Paulo","android","mobile","Rede Globo","Amor de Mãe",920000,202012
"595794","Brazil","State of Pernambuco","Goiana","android","tablet","Rede Globo","Haja Coração",2207000,202012
"595950","Brazil","State of Rio de Janeiro","Sao Goncalo","android","tablet","Globoplay OTT","Os 4400",4788000,202012
"596011","Brazil","State of Ceara","Morada Nova","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"596052","Brazil","State of Sao Paulo","Sorocaba","android","mobile","Rede Globo","Todas as Mulheres do Mundo",3498000,202012
"596201","Brazil","State of Sao Paulo","Ribeirao Pires","android","tablet","Rede Globo","Globoplay Ao Vivo",655000,202012
"596240","Brazil","State of Minas Gerais","Mariana","android","mobile","Rede Globo","Globoplay Ao Vivo",256000,202012
"596249","Brazil","State of Sao Paulo","Sorocaba","android","mobile","Rede Globo","Globoplay Ao Vivo",655000,202012
"596305","Brazil","State of Rio de Janeiro","Duque de Caxias","android","tablet","Globoplay OTT","Prison Break: Em Busca da Verdade",3292001,202012
"596403","Brazil","State of Sao Paulo","Jundiai","android","mobile","Globoplay OTT","The Vampire Diaries",3165000,202012
"596460","Brazil","State of Parana","Curitiba","android","mobile","Globoplay OTT","Hospital New Amsterdam",3162000,202012
"596499","Brazil","State of Sao Paulo","Guarulhos","android","tablet","Rede Globo","A Força do Querer - Edição Especial",5082000,202012
"596504","Brazil","State of Santa Catarina","Florianopolis","android","tablet","Globoplay OTT","Sessão de Terapia",3350000,202012
"596520","Brazil","Federal District","Brasilia","android","tablet","Globoplay OTT","Chicago Fire",1220000,202012
"596539","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Globoplay OTT","The Good Doctor - O Bom Doutor",2086000,202012
"596554","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Rede Globo","Segundo Sol",1462000,202012
"596569","Brazil","State of Bahia","Itaberaba","android","tablet","Rede Globo","Cinema",884000,202012
"596612","Brazil","State of Ceara","(not set)","android","tablet","Rede Globo","Globoplay Ao Vivo",1573000,202012
"596689","Brazil","State of Sao Paulo","Santo Andre","android","tablet","Globoplay OTT","The Originals",1349001,202012
"596733","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Rede Globo","A Força do Querer - Edição Especial",3544000,202012
"596754","Brazil","State of Rio de Janeiro","Itaperuna","android","tablet","Globoplay OTT","Homeland",1221000,202012
"596759","Brazil","State of Sao Paulo","Jau","android","tablet","Rede Globo","As Five",5004000,202012
"596762","Brazil","State of Bahia","(not set)","android","tablet","Rede Globo","Torre de Babel",2189000,202012
"596819","Brazil","State of Sao Paulo","Ibitinga","android","mobile","GNT OTT","GNT Ao Vivo",3189000,202012
"596931","Brazil","State of Bahia","Salvador","android","tablet","Globoplay OTT","Me Chama de Bruna",3165002,202012
"597017","Brazil","State of Bahia","(not set)","android","tablet","GloboNews OTT","GloboNews Ao Vivo",3189000,202012
"597018","Brazil","State of Bahia","(not set)","android","mobile","GloboNews OTT","GloboNews Ao Vivo",3189000,202012
"597078","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","Cinema",1221000,202012
"597079","Brazil","State of Rio de Janeiro","Duque de Caxias","android","tablet","Globoplay OTT","Modern Family",4792000,202012
"597082","Brazil","State of Amazonas","Manaus","android","tablet","Globoplay OTT","Máquina Mortífera",2089000,202012
"597133","Brazil","State of Rio Grande do Sul","Torres","android","tablet","Rede Globo","Globoplay Ao Vivo",2126000,202012
"597265","Brazil","State of Sao Paulo","Cananeia","android","mobile","Rede Globo","Globoplay Ao Vivo",256000,202012
"597284","Brazil","State of Sao Paulo","Aracatuba","android","mobile","Rede Globo","Globoplay Ao Vivo",1573000,202012
"597299","Brazil","State of Sao Paulo","Sao Paulo","android","mobile","Globoplay OTT","One Tree Hill: Lances da Vida",4916001,202012
"597357","Brazil","State of Sao Paulo","Pilar do Sul","android","mobile","Rede Globo","Jornal Nacional",2220000,202012
"597377","Brazil","State of Sao Paulo","Carapicuiba","android","mobile","Globoplay OTT","Programas Institucionais",941000,202012
"597397","Brazil","State of Parana","Curitiba","android","tablet","Rede Globo","A Favorita",1428000,202012
"597398","Brazil","State of Parana","Curitiba","android","tablet","Rede Globo","A Favorita",1453000,202012
"597414","Brazil","State of Minas Gerais","Belo Horizonte","android","tablet","Globoplay OTT","FBI",3291000,202012
"597468","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Globoplay OTT","Hospital New Amsterdam",1221001,202012
"597477","Brazil","State of Rio de Janeiro","Sao Joao de Meriti","android","tablet","Multishow OTT","Tô de Graça",1295000,202012
"597485","Brazil","State of Sao Paulo","Cajamar","android","tablet","Rede Globo","The Voice Brasil",2220000,202012
"597502","Brazil","State of Maranhao","Caxias","android","mobile","Rede Globo","A Força do Querer",5076000,202012
"597513","Brazil","State of Sao Paulo","Santos","android","mobile","Rede Globo","Globoplay Ao Vivo",176000,202012
"597519","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Globoplay OTT","O Clube das Divorciadas",4788000,202012
"597554","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Globoplay OTT","Wolfblood: Família Lobo",3165001,202012
"597558","Brazil","State of Piaui","Teresina","android","tablet","Gloob OTT","Gloob Ao Vivo",4783000,202012
"597621","Brazil","State of Santa Catarina","Florianopolis","android","tablet","Globoplay OTT","Hospital New Amsterdam",3164000,202012
"597622","Brazil","State of Sao Paulo","Caraguatatuba","android","tablet","Globoplay OTT","The Good Doctor - O Bom Doutor",4780000,202012
"597765","Brazil","State of Bahia","(not set)","android","tablet","Rede Globo","Fera Radical",2216000,202012
"597826","Brazil","State of Pernambuco","Recife","android","tablet","Rede Globo","Jornal Hoje",2216000,202012
"597839","Brazil","State of Sao Paulo","Guaruja","android","tablet","Rede Globo","Globoplay Ao Vivo",2359000,202012
"597955","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Rede Globo","Bom Dia Brasil",2219000,202012
"598000","Brazil","State of Ceara","Fortaleza","android","tablet","Globoplay OTT","The Office",4780002,202012
"598079","Brazil","State of Sao Paulo","Piracicaba","android","tablet","Globoplay OTT","Scorpion: Serviço de Inteligência",4788000,202012
"598103","Brazil","State of Roraima","(not set)","android","mobile","Rede Globo","Globoplay Ao Vivo",176000,202012
"598110","Brazil","State of Rio de Janeiro","(not set)","android","tablet","Inter TV RJ","RJ Inter TV 2ª Edição",2219000,202012
"598115","Brazil","State of Santa Catarina","(not set)","android","tablet","Rede Globo","Além do Tempo",2218000,202012
"598146","Brazil","State of Sao Paulo","Piraju","android","tablet","Rede Globo","Flor do Caribe - Edição Especial",3452000,202012
"598155","Brazil","State of Sao Paulo","Ribeirao Preto","android","tablet","Globoplay OTT","Feras",1219001,202012
"598156","Brazil","State of Sao Paulo","Ribeirao Preto","android","tablet","Globoplay OTT","Feras",756000,202012
"598171","Brazil","State of Goias","(not set)","android","mobile","Gloobinho OTT","Gloobinho Ao Vivo",4783000,202012
"598191","Brazil","State of Sao Paulo","Franco da Rocha","android","mobile","Rede Globo","Globoplay Ao Vivo",410000,202012
"598224","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","Desalma",3194000,202012
"598246","Brazil","State of Sao Paulo","Guaruja","android","mobile","Globoplay OTT","Modern Family",1221001,202012
"598267","Brazil","State of Rio de Janeiro","Mesquita","android","tablet","Globoplay OTT","Hospital New Amsterdam",2086000,202012
"598296","Brazil","State of Sao Paulo","Andradina","android","mobile","Rede Globo","Globoplay Ao Vivo",256000,202012
"598297","Brazil","State of Pernambuco","Recife","android","tablet","Globoplay OTT","The Vampire Diaries",2090001,202012
"598363","Brazil","Federal District","Brasilia","android","tablet","Globoplay OTT","Chicago P.D.: Distrito 21",4904000,202012
"598378","Brazil","State of Sao Paulo","Sao Caetano do Sul","android","tablet","Som Livre OTT","Zé Neto & Cristiano - Esquece O Mundo Lá Fora",3167000,202012
"598402","Brazil","State of Rio de Janeiro","Mage","android","mobile","Globoplay OTT","Smallville",2087000,202012
"598404","Brazil","State of Sao Paulo","Brodowski","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"598427","Brazil","State of Goias","(not set)","android","tablet","Globoplay OTT","Todo Mundo Odeia o Chris",1192588,202012
"598457","Brazil","State of Sao Paulo","Araraquara","android","mobile","Rede Globo","Globoplay Ao Vivo",176000,202012
"598471","Brazil","State of Goias","Goiania","android","mobile","Rede Globo","Globoplay Ao Vivo",1049000,202012
"598478","Brazil","State of Amazonas","Manaus","android","tablet","Globoplay OTT","Cercados",2217000,202012
"598486","Brazil","State of Sao Paulo","Sao Paulo","android","mobile","Globoplay OTT","Programas Institucionais",5268000,202012
"598491","Brazil","State of Rio de Janeiro","Queimados","android","tablet","Rede Globo","A Força do Querer",2216000,202012
"598504","Brazil","State of Pernambuco","Serra Talhada","android","tablet","Globoplay OTT","The Vampire Diaries",2088000,202012
"598569","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","A Força do Querer - Edição Especial",1305000,202012
"598708","Brazil","State of Sao Paulo","Araras","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"598712","Brazil","State of Sao Paulo","Sao Caetano do Sul","android","mobile","Rede Globo","Tieta",1193000,202012
"598783","Brazil","State of Sao Paulo","Caraguatatuba","android","mobile","Rede Globo","Cheias de Charme",1090000,202012
"598909","Brazil","State of Rio de Janeiro","Niteroi","android","tablet","Rede Globo","Verdades Secretas",770000,202012
"599118","Brazil","State of Minas Gerais","Diamantina","android","mobile","Rede Globo","Globoplay Ao Vivo",1573000,202012
"599272","Brazil","State of Sao Paulo","Sorocaba","android","mobile","Globoplay OTT","Me Chama de Bruna",1220001,202012
"599408","Brazil","State of Sao Paulo","Ribeirao Pires","android","tablet","Rede Globo","Globoplay Ao Vivo",1573000,202012
"599582","Brazil","State of Sao Paulo","Rio Claro","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"599701","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","Haja Coração - Edição Especial",5159000,202012
"599728","Brazil","State of Santa Catarina","Imbituba","android","mobile","Rede Globo","Premiere no Globoplay",3189000,202012
"599745","Brazil","State of Minas Gerais","(not set)","android","mobile","Rede Globo","AutoEsporte",2209000,202012
"599843","Brazil","State of Sao Paulo","Holambra","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"599886","Brazil","State of Sao Paulo","Santo Andre","android","tablet","Globoplay OTT","Hospital New Amsterdam",4788001,202012
"600034","Brazil","State of Sao Paulo","Hortolandia","android","mobile","Rede Globo","Globoplay Ao Vivo",655000,202012
"600071","Brazil","State of Rio de Janeiro","Nova Friburgo","android","tablet","Rede Globo","Globoplay Ao Vivo",176000,202012
"600089","Brazil","State of Sao Paulo","Guarulhos","android","mobile","Multishow OTT","Tô de Graça",2216000,202012
"600128","Brazil","State of Bahia","Salvador","android","tablet","Globoplay OTT","Me Chama de Bruna",756000,202012
"600137","Brazil","State of Minas Gerais","Belo Horizonte","android","tablet","Rede Globo","The Voice Brasil",2218000,202012
"600204","Brazil","State of Ceara","(not set)","android","mobile","Universal OTT","Universal Ao Vivo",3538000,202012
"600261","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Rede Globo","The Voice Brasil",2218000,202012
"600275","Brazil","State of Sao Paulo","Araraquara","android","mobile","Rede Globo","Globoplay Ao Vivo",1573000,202012
"600327","Brazil","State of Goias","Goiania","android","tablet","Rede Globo","Jornal Nacional",2220000,202012
"600365","Brazil","State of Santa Catarina","Balneario Camboriu","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"600380","Brazil","State of Minas Gerais","Ouro Preto","android","tablet","GNT OTT","GNT Ao Vivo",554000,202012
"600423","Brazil","State of Minas Gerais","Belo Horizonte","android","tablet","Rede Globo","The Voice Brasil",930000,202012
"600424","Brazil","State of Minas Gerais","Belo Horizonte","android","tablet","Rede Globo","Globoplay Ao Vivo",1573000,202012
"600471","Brazil","State of Sao Paulo","Salto","android","tablet","Globoplay OTT","Hospital New Amsterdam",4783000,202012
"600523","Brazil","State of Santa Catarina","Palhoca","android","mobile","SporTV","Combate",2430000,202012
"600544","Brazil","State of Parana","Curitiba","android","tablet","Rede Globo","A Favorita",944000,202012
"600557","Brazil","State of Rio de Janeiro","Niteroi","android","mobile","Rede Globo","A Força do Querer",5081000,202012
"600626","Brazil","State of Pernambuco","Jaboatao dos Guararapes","android","tablet","Rede Globo","Globoplay Ao Vivo",256000,202012
"600660","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Globoplay OTT","O Clube das Divorciadas",4781000,202012
"600689","Brazil","State of Sao Paulo","(not set)","android","tablet","Rede Globo","A Força do Querer - Edição Especial",5085000,202012
"600690","Brazil","State of Sao Paulo","(not set)","android","tablet","Rede Globo","A Força do Querer - Edição Especial",3535000,202012
"600725","Brazil","State of Santa Catarina","Florianopolis","android","tablet","TV Rio Sul","RJ1 – TV Rio Sul",2213000,202012
"600726","Brazil","State of Santa Catarina","Florianopolis","android","tablet","TV Rio Sul","RJ2 – TV Rio Sul",801000,202012
"600734","Brazil","State of Sao Paulo","Hortolandia","android","mobile","Rede Globo","A Dona do Pedaço",3554000,202012
"600823","Brazil","State of Minas Gerais","Sabara","android","mobile","Globoplay OTT","Programas Institucionais",2361000,202012
"600830","Brazil","State of Minas Gerais","(not set)","android","tablet","Rede Globo","The Voice Brasil",3522000,202012
"600831","Brazil","State of Santa Catarina","Blumenau","android","tablet","Globoplay OTT","The Big Bang Theory",4787001,202012
"600836","Brazil","State of Amazonas","Manaus","android","tablet","Globoplay OTT","Prison Break: Em Busca da Verdade",884000,202012
"600974","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Globoplay OTT","Modern Family",2089001,202012
"600975","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Globoplay OTT","Modern Family",4787001,202012
"601073","Brazil","State of Minas Gerais","Belo Horizonte","android","tablet","Rede Globo","Fantástico",2215000,202012
"601118","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Globoplay OTT","O Clube das Divorciadas",4780000,202012
"601197","Brazil","State of Rio de Janeiro","Duque de Caxias","android","tablet","Globoplay OTT","Manifest - O Mistério do Voo 828",2216000,202012
"601261","Brazil","State of Sao Paulo","Campinas","android","tablet","Globoplay OTT","Hospital New Amsterdam",3163000,202012
"601286","Brazil","State of Para","Belem","android","mobile","Rede Globo","Globoplay Ao Vivo",256000,202012
"601427","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","tablet","Rede Globo","Laços de Família – Vale a Pena Ver de Novo",5241000,202012
"601449","Brazil","State of Pernambuco","Recife","android","tablet","Rede Globo","The Voice Brasil",3526000,202012
"601471","Brazil","State of Sao Paulo","Osasco","android","mobile","SporTV","Premiere Clubes",2343000,202012
"601499","Brazil","State of Sao Paulo","Cotia","android","mobile","Globoplay OTT","Programas Institucionais",5228000,202012
"601508","Brazil","Federal District","Brasilia","android","tablet","Globoplay OTT","Chicago P.D.: Distrito 21",2213000,202012
"601531","Brazil","State of Ceara","Fortaleza","android","tablet","Bis OTT","BIS Ao Vivo",4783000,202012
"601542","Brazil","State of Rio Grande do Sul","Sao Leopoldo","android","tablet","Rede Globo","Premiere no Globoplay",554000,202012
"601583","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Rede Globo","Bom Dia Brasil",2235000,202012
"602135","Brazil","State of Sergipe","Aracaju","android","tablet","Globoplay OTT","Under The Dome - Prisão Invisível",4788000,202012
"602139","Brazil","State of Pernambuco","Vitoria de Santo Antao","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"602177","Brazil","State of Sao Paulo","Sao Paulo","android","mobile","Mais Globosat OTT","Brasil Visto de Cima",3359000,202012
"602184","Brazil","State of Para","Castanhal","android","mobile","Viva OTT","VIVA Ao Vivo",2126000,202012
"602271","Brazil","State of Pernambuco","Goiana","android","tablet","Globoplay OTT","Supernatural",2089001,202012
"602522","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","desktop","Multishow OTT","Tô de Graça",3493000,202012
"602549","Brazil","State of Sao Paulo","Sorocaba","android","mobile","Rede Globo","Escolinha do Professor Raimundo",2214000,202012
"602614","Brazil","State of Sao Paulo","Hortolandia","android","mobile","Rede Globo","Pequenas Empresas & Grandes Negócios",2257000,202012
"602624","Brazil","State of Sao Paulo","Valinhos","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"602646","Brazil","State of Ceara","Fortaleza","android","tablet","Globoplay OTT","FBI",3163000,202012
"602713","Brazil","State of Acre","Rio Branco","android","tablet","Rede Globo","Amor à Vida",2224000,202012
"602747","Brazil","State of Sao Paulo","Santana de Parnaiba","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"602813","Brazil","State of Bahia","Camacari","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"602816","Brazil","State of Rio de Janeiro","Belford Roxo","android","mobile","Rede Globo","Globoplay Ao Vivo",1049000,202012
"602853","Brazil","State of Rio Grande do Sul","(not set)","android","mobile","Globoplay OTT","Hospital New Amsterdam",3164001,202012
"602869","Brazil","State of Sao Paulo","Sao Paulo","android","tablet","Rede Globo","The Voice Brasil",2207000,202012
"602883","Brazil","State of Sao Paulo","Santa Barbara d'Oeste","android","mobile","Rede Globo","Globoplay Ao Vivo",2359000,202012
"602918","Brazil","State of Rio de Janeiro","Rio de Janeiro","android","mobile","Rede Globo","Flor do Caribe - Edição Especial",5199000,202012
"602934","Brazil","State of Minas Gerais","(not set)","android","tablet","Rede Globo","Fantástico",1195000,202012
