"","canal","qualidade","percentual","impressoes"
"155","Philos OTT","5.75 Mbps",0,0
"156","Philos OTT","6.25 Mbps",0,0
"157","Studio Universal OTT","0.25 Mbps",0,0
"158","Studio Universal OTT","0.75 Mbps",5.45,3
"159","Studio Universal OTT","1.25 Mbps",9.09,5
"160","Studio Universal OTT","1.75 Mbps",20,11
"161","Studio Universal OTT","2.25 Mbps",25.45,14
"162","Studio Universal OTT","2.75 Mbps",0,0
"163","Studio Universal OTT","3.25 Mbps",10.91,6
"164","Studio Universal OTT","3.75 Mbps",18.18,10
"165","Studio Universal OTT","4.25 Mbps",0,0
"166","Studio Universal OTT","4.75 Mbps",0,0
"167","Studio Universal OTT","5.25 Mbps",10.91,6
"168","Studio Universal OTT","5.75 Mbps",0,0
"169","Studio Universal OTT","6.25 Mbps",0,0
"170","EPTV (SP)","0.25 Mbps",0,0
"171","EPTV (SP)","0.75 Mbps",0,0
"172","EPTV (SP)","1.25 Mbps",0,0
"173","EPTV (SP)","1.75 Mbps",0,0
"174","EPTV (SP)","2.25 Mbps",100,7
"175","EPTV (SP)","2.75 Mbps",0,0
"176","EPTV (SP)","3.25 Mbps",0,0
"177","EPTV (SP)","3.75 Mbps",0,0
"178","EPTV (SP)","4.25 Mbps",0,0
"179","EPTV (SP)","4.75 Mbps",0,0
"180","EPTV (SP)","5.25 Mbps",0,0
"181","EPTV (SP)","5.75 Mbps",0,0
"182","EPTV (SP)","6.25 Mbps",0,0
"183","Megapix OTT","0.25 Mbps",0,0
"184","Megapix OTT","0.75 Mbps",0,0
"185","Megapix OTT","1.25 Mbps",0,0
"186","Megapix OTT","1.75 Mbps",21.62,8
"187","Megapix OTT","2.25 Mbps",24.32,9
"188","Megapix OTT","2.75 Mbps",0,0
"189","Megapix OTT","3.25 Mbps",0,0
"190","Megapix OTT","3.75 Mbps",54.05,20
"191","Megapix OTT","4.25 Mbps",0,0
"192","Megapix OTT","4.75 Mbps",0,0
"193","Megapix OTT","5.25 Mbps",0,0
"194","Megapix OTT","5.75 Mbps",0,0
"195","Megapix OTT","6.25 Mbps",0,0
"196","Bis OTT","0.25 Mbps",6.25,1
"197","Bis OTT","0.75 Mbps",6.25,1
"198","Bis OTT","1.25 Mbps",0,0
"199","Bis OTT","1.75 Mbps",0,0
"200","Bis OTT","2.25 Mbps",6.25,1
"201","Bis OTT","2.75 Mbps",0,0
"202","Bis OTT","3.25 Mbps",6.25,1
"203","Bis OTT","3.75 Mbps",0,0
"204","Bis OTT","4.25 Mbps",0,0
"205","Bis OTT","4.75 Mbps",75,12
"206","Bis OTT","5.25 Mbps",0,0
"207","Bis OTT","5.75 Mbps",0,0
"208","Bis OTT","6.25 Mbps",0,0
"209","SyFy OTT","0.25 Mbps",0,0
"210","SyFy OTT","0.75 Mbps",0,0
"211","SyFy OTT","1.25 Mbps",0,0
"212","SyFy OTT","1.75 Mbps",31.58,6
"213","SyFy OTT","2.25 Mbps",0,0
"214","SyFy OTT","2.75 Mbps",0,0
"215","SyFy OTT","3.25 Mbps",0,0
"216","SyFy OTT","3.75 Mbps",68.42,13
"217","SyFy OTT","4.25 Mbps",0,0
"218","SyFy OTT","4.75 Mbps",0,0
"219","SyFy OTT","5.25 Mbps",0,0
"220","SyFy OTT","5.75 Mbps",0,0
"221","SyFy OTT","6.25 Mbps",0,0
"222","OFF OTT","0.25 Mbps",0,0
"223","OFF OTT","0.75 Mbps",0,0
"224","OFF OTT","1.25 Mbps",0,0
"225","OFF OTT","1.75 Mbps",0,0
"226","OFF OTT","2.25 Mbps",0,0
"227","OFF OTT","2.75 Mbps",0,0
"228","OFF OTT","3.25 Mbps",0,0
"229","OFF OTT","3.75 Mbps",0,0
"230","OFF OTT","4.25 Mbps",0,0
"231","OFF OTT","4.75 Mbps",100,9
"232","OFF OTT","5.25 Mbps",0,0
"233","OFF OTT","5.75 Mbps",0,0
"234","OFF OTT","6.25 Mbps",0,0
"235","Futura OTT","0.25 Mbps",16.67,4
"236","Futura OTT","0.75 Mbps",25,6
"237","Futura OTT","1.25 Mbps",0,0
"238","Futura OTT","1.75 Mbps",0,0
"239","Futura OTT","2.25 Mbps",8.33,2
"240","Futura OTT","2.75 Mbps",0,0
"241","Futura OTT","3.25 Mbps",16.67,4
"242","Futura OTT","3.75 Mbps",0,0
"243","Futura OTT","4.25 Mbps",0,0
"244","Futura OTT","4.75 Mbps",33.33,8
"245","Futura OTT","5.25 Mbps",0,0
"246","Futura OTT","5.75 Mbps",0,0
"247","Futura OTT","6.25 Mbps",0,0
"248","Gloobinho OTT","0.25 Mbps",0,0
"249","Gloobinho OTT","0.75 Mbps",0,0
"250","Gloobinho OTT","1.25 Mbps",5.56,1
"251","Gloobinho OTT","1.75 Mbps",0,0
"252","Gloobinho OTT","2.25 Mbps",5.56,1
"253","Gloobinho OTT","2.75 Mbps",0,0
"254","Gloobinho OTT","3.25 Mbps",22.22,4
"255","Gloobinho OTT","3.75 Mbps",0,0
"256","Gloobinho OTT","4.25 Mbps",0,0
"257","Gloobinho OTT","4.75 Mbps",66.67,12
"258","Gloobinho OTT","5.25 Mbps",0,0
"259","Gloobinho OTT","5.75 Mbps",0,0
"260","Gloobinho OTT","6.25 Mbps",0,0
"261","Combate OTT","0.25 Mbps",0,0
"262","Combate OTT","0.75 Mbps",0,0
"263","Combate OTT","1.25 Mbps",0,0
"264","Combate OTT","1.75 Mbps",0,0
"265","Combate OTT","2.25 Mbps",0,0
"266","Combate OTT","2.75 Mbps",0,0
"267","Combate OTT","3.25 Mbps",0,0
"268","Combate OTT","3.75 Mbps",0,0
"269","Combate OTT","4.25 Mbps",0,0
"270","Combate OTT","4.75 Mbps",0,0
"271","Combate OTT","5.25 Mbps",100,9
